날짜,위도,경도,자치구,방문자수
20230129,37.5694,126.835,강서구,42454
20230129,37.4445,126.9639,관악구,29375
20230129,37.5515,127.0838,광진구,69160
20230129,37.484,126.8254,구로구,113030
20230129,37.4513,126.9246,금천구,80130
20230129,37.6789,127.0607,노원구,48290
20230129,37.6988,127.0155,도봉구,106567
20230129,37.5105,126.9627,동작구,118386
20230129,37.5554,126.9236,마포구,105304
20230129,37.6076,126.947,서대문구,4844
20230129,37.55,127.0802,서울대공원,13544
20230129,37.4764,127.008,서초구,28886
20230129,37.5483,127.0298,성동구,4635
20230129,37.5111,127.0981,송파구,24935
20230129,37.528,126.8619,양천구,90048
20230129,37.5513,126.9882,용산구,674
20230129,37.6525,126.9479,은평구,3725
20230129,37.5776,126.9769,종로구,6106
20230129,37.5656,126.9749,중구,63168
20230129,37.5898,127.0708,중랑구,41058
